YearMonth,Topic,Xval,Yval,Popularity
January,1,10,10,800
February,1,10,10,132
March,1,10,10,942
April,1,10,10,42
May,1,10,10,405
June,1,10,10,635
July,1,10,10,808
August,1,10,10,65
September,1,10,10,59
October,1,10,10,128
November,1,10,10,9
December,1,10,10,719
January,2,20,20,82
February,2,20,20,351
March,2,20,20,330
April,2,20,20,805
May,2,20,20,840
June,2,20,20,694
July,2,20,20,721
August,2,20,20,782
September,2,20,20,71
October,2,20,20,43
November,2,20,20,510
December,2,20,20,916
January,3,30,30,519
February,3,30,30,600
March,3,30,30,627
April,3,30,30,272
May,3,30,30,979
June,3,30,30,499
July,3,30,30,60
August,3,30,30,802
September,3,30,30,77
October,3,30,30,401
November,3,30,30,985
December,3,30,30,194
January,4,40,40,512
February,4,40,40,667
March,4,40,40,883
April,4,40,40,92
May,4,40,40,912
June,4,40,40,464
July,4,40,40,863
August,4,40,40,637
September,4,40,40,838
October,4,40,40,350
November,4,40,40,551
December,4,40,40,58
January,5,50,50,232
February,5,50,50,167
March,5,50,50,523
April,5,50,50,844
May,5,50,50,188
June,5,50,50,355
July,5,50,50,841
August,5,50,50,614
September,5,50,50,794
October,5,50,50,979
November,5,50,50,782
December,5,50,50,623
